ax,ay,az
-0.03,-0.31,0.60
-0.13,2.00,1.52
0.29,-0.64,1.28
-0.08,0.67,0.29
0.21,2.00,2.00
0.16,-0.48,1.33
-0.09,1.44,0.19
0.14,1.52,1.60
-0.01,-0.90,1.19
-0.19,1.18,0.39
0.19,1.07,1.82
-0.03,-1.91,0.84
-0.38,0.20,0.37
0.20,-0.56,2.00
-0.02,-2.00,0.86
-0.60,0.04,0.12
0.39,-1.19,2.00
-0.01,-1.92,1.02
-0.61,0.39,0.37
0.38,-1.11,1.88
0.11,-1.95,1.07
-0.32,0.96,0.92
0.09,-0.68,0.82
0.06,-0.92,0.61
-0.21,2.00,1.36
0.28,-0.22,1.00
-0.09,0.48,0.27
0.20,2.00,1.95
0.08,-0.65,1.30
-0.03,1.41,0.40
0.21,2.00,1.63
0.13,-0.47,1.55
-0.08,1.28,0.31
0.08,0.89,1.94
0.02,-1.70,0.85
-0.41,0.19,0.22
0.22,-0.12,1.85
0.09,-2.00,1.09
-0.57,0.64,0.28
0.44,-0.79,2.00
-0.11,-2.00,0.65
-0.68,-0.10,0.11
0.38,-1.28,2.00
-0.02,-2.00,0.86
-0.41,0.95,0.70
0.18,-0.65,1.01
0.06,-1.22,0.79
-0.22,1.90,1.13
0.28,-0.56,1.21
0.02,0.15,0.47
0.04,2.00,1.85
0.10,-0.20,1.05
0.24,1.03,0.88
-0.03,2.00,1.55
0.13,-0.58,1.46
-0.14,1.17,0.12
0.10,1.91,1.43
0.12,-0.58,1.66
-0.26,1.27,0.08
0.23,1.34,2.00
0.01,-1.91,0.93
-0.36,0.66,0.24
0.19,-0.10,2.00
-0.14,-1.93,0.69
-0.63,0.27,0.31
0.49,-1.12,2.00
-0.09,-2.00,0.73
-0.49,0.04,0.16
0.29,-1.25,1.76
0.13,-1.82,1.06
-0.43,1.77,0.86
0.19,-0.13,1.29
0.12,-0.28,0.62
-0.23,2.00,1.48
0.20,-0.62,1.23
0.03,0.44,0.39
0.17,2.00,1.74
0.21,-0.23,1.40
-0.02,1.55,0.20
0.14,1.94,1.77
-0.01,-0.87,1.22
-0.29,0.81,0.09
0.28,0.68,2.00
-0.01,-2.00,0.92
-0.41,0.50,0.38
0.32,-0.41,2.00
-0.14,-2.00,0.49
-0.61,-0.08,0.11
0.28,-1.52,1.82
0.03,-1.84,0.89
-0.37,0.93,0.75
0.25,-0.79,1.23
0.01,-0.91,0.60
-0.22,1.75,1.31
0.25,-0.36,1.46
-0.11,0.15,0.30
0.04,2.00,1.69
0.15,-0.34,1.20
0.01,1.47,0.56
0.15,1.80,1.74
0.05,-1.01,1.34
-0.26,1.52,0.32
0.17,1.11,1.75
-0.11,-1.48,0.76
-0.41,0.37,0.36
0.47,-0.43,2.00
-0.21,-2.00,0.45
-0.57,0.04,0.24
0.25,-1.02,2.00
0.07,-2.00,1.13
-0.60,0.79,0.46
0.29,-1.14,1.24
0.03,-1.42,0.64
-0.10,0.99,1.38
0.11,-0.66,0.82
-0.00,-0.14,0.29
-0.07,2.00,1.60
0.27,-0.08,1.55
0.00,1.15,0.39
0.23,2.00,2.00
0.15,-1.02,1.60
-0.14,1.61,0.32
0.14,1.52,1.66
-0.08,-1.18,1.04
-0.44,0.84,0.13
0.29,-0.67,2.00
-0.12,-2.00,0.71
-0.59,0.04,0.04
0.41,-0.78,2.00
-0.01,-2.00,1.09
-0.56,0.80,0.49
0.40,-1.00,1.76
-0.16,-1.51,0.54
-0.34,1.25,1.04
0.28,-0.69,1.12
0.07,-0.07,0.50
0.04,2.00,1.64
0.18,-0.46,1.24
-0.06,1.03,0.15
0.24,2.00,1.91
0.16,-0.42,1.90
-0.14,1.34,0.30
0.03,1.35,1.78
-0.01,-1.89,0.84
-0.34,0.43,0.11
0.24,-0.40,2.00
-0.06,-2.00,0.74
-0.65,0.20,0.07
0.47,-1.08,2.00
-0.04,-2.00,0.83
-0.62,0.24,0.08
0.33,-1.18,1.81
-0.00,-1.93,0.82
-0.36,1.44,0.99
0.30,-0.32,1.33
-0.06,-0.49,0.41
-0.10,2.00,1.51
0.20,-0.71,0.95
0.02,0.87,0.43
0.24,2.00,1.84
0.01,-0.24,1.70
-0.00,1.65,0.26
0.04,1.65,1.63
-0.14,-1.17,1.06
-0.32,0.28,0.09
0.22,0.03,2.00
-0.01,-2.00,0.95
-0.48,0.49,0.30
0.34,-0.48,2.00
-0.05,-2.00,0.65
-0.70,0.08,0.09
0.29,-1.33,1.96
-0.06,-2.00,0.78
-0.32,0.66,0.76
0.23,-0.80,1.35
-0.04,-1.41,0.66
-0.28,1.67,1.02
0.28,-0.48,1.22
0.05,-0.02,0.26
0.07,2.00,1.81
0.19,-0.23,1.19
0.17,1.51,0.60
0.10,1.90,1.65
0.02,-0.91,1.16
-0.02,1.34,0.39
-0.02,1.76,1.53
0.10,-0.78,1.47
-0.29,0.96,0.22
0.30,1.05,2.00
-0.12,-1.99,0.71
-0.45,0.29,0.03
0.33,-0.46,2.00
-0.12,-2.00,0.95
-0.70,0.32,0.18
0.41,-1.04,2.00
-0.09,-2.00,0.80
-0.48,0.18,0.32
0.33,-1.27,1.80
0.03,-1.66,0.91
-0.18,1.75,1.30
0.18,-0.09,0.98
0.11,0.21,0.54
-0.14,2.00,1.58
0.33,-0.55,1.38
-0.05,0.99,0.44
0.10,2.00,1.66
0.23,-0.46,1.65
-0.14,1.70,0.36
0.08,1.60,1.45
-0.05,-1.00,0.97
-0.35,0.58,0.13
0.38,0.01,2.00
-0.18,-2.00,0.64
-0.46,0.34,0.37
0.51,-0.59,2.00
-0.13,-2.00,0.49
-0.62,0.17,0.07
0.23,-1.62,1.64
0.10,-1.77,0.88
-0.23,1.29,1.02
0.10,-0.43,1.11
0.16,-0.32,0.43
-0.10,2.00,1.54
0.12,-0.19,1.17
-0.05,0.55,0.27
0.07,2.00,1.96
0.20,-0.54,1.49
-0.08,1.41,0.49
0.11,1.67,1.72
-0.05,-1.10,1.20
-0.43,1.36,0.16
0.28,0.46,2.00
-0.18,-1.62,0.60
-0.47,0.27,0.37
0.40,-0.79,2.00
-0.06,-2.00,0.52
-0.48,0.19,0.30
0.30,-1.09,1.89
0.00,-1.67,0.83
-0.48,1.67,0.54
0.20,-0.70,1.11
0.06,-0.64,0.51
-0.08,1.66,1.48
0.08,-0.33,0.97
-0.05,0.88,0.29
0.12,2.00,1.77
0.27,-0.41,1.74
-0.21,1.13,0.30
0.30,1.40,2.00
0.04,-1.51,1.27
-0.42,1.32,0.23
0.17,0.55,1.86
-0.14,-1.69,0.68
-0.54,0.25,0.28
0.35,-1.37,2.00
-0.05,-2.00,0.85
-0.47,0.19,0.37
0.29,-0.99,1.80
0.11,-1.68,0.99
-0.40,1.73,0.65
0.24,-0.52,1.34
-0.06,-0.48,0.41
-0.09,1.93,1.53
0.16,-0.34,1.13
0.13,1.04,0.60
0.12,2.00,1.69
0.06,-0.51,1.27
-0.13,1.40,0.32
0.16,1.63,1.77
0.07,-0.96,1.56
-0.43,0.83,0.21
0.20,0.60,1.84
-0.12,-2.00,0.99
-0.46,0.07,0.20
0.34,-1.17,2.00
-0.12,-2.00,0.72
-0.67,0.23,0.27
0.43,-1.20,1.98
0.07,-1.83,0.94
-0.41,0.81,0.63
0.26,-0.87,1.33
0.02,-1.11,0.76
-0.15,2.00,1.49
0.27,0.06,1.39
-0.03,0.56,0.39
0.03,2.00,1.75
0.21,-0.64,1.22
-0.08,1.44,0.41
0.30,2.00,1.83
0.03,-0.52,1.42
-0.21,1.47,0.34
0.13,1.06,1.80
-0.15,-1.97,0.83
-0.44,-0.10,0.13
0.27,-0.66,2.00
-0.09,-2.00,0.91
-0.62,0.26,0.08
0.55,-1.02,2.00
-0.14,-1.86,0.69
-0.69,0.26,0.23
0.32,-1.33,1.64
0.06,-1.70,0.81
-0.16,1.34,1.13
0.13,-0.53,1.02
0.02,-0.60,0.64
-0.19,2.00,1.34
0.14,-0.22,1.16
-0.09,0.74,0.20
0.23,2.00,2.00
0.18,-0.51,1.33
0.03,1.64,0.55
0.16,1.49,1.71
-0.12,-1.16,1.05
-0.38,0.71,0.11
0.26,0.38,2.00
-0.03,-1.87,0.96
-0.48,0.12,0.24
