ax,ay,az
-0.07,-0.09,1.13
-0.05,0.17,1.11
-0.01,-0.03,1.09
-0.01,-0.22,1.12
-0.08,0.18,0.95
0.03,-0.15,1.16
-0.08,-0.13,1.07
-0.12,0.42,1.02
-0.03,-0.23,1.14
-0.03,-0.15,1.20
0.02,0.18,1.00
0.03,-0.20,1.14
-0.09,0.04,0.98
-0.01,0.24,1.11
-0.08,-0.22,1.09
-0.12,-0.08,0.95
-0.01,-0.10,1.09
-0.07,-0.14,1.11
-0.04,0.05,1.09
-0.05,0.05,1.16
-0.08,0.19,1.06
-0.10,0.05,1.05
0.04,-0.04,1.15
-0.07,-0.09,0.91
-0.04,-0.46,1.08
0.13,-0.01,1.21
0.00,0.11,1.09
-0.10,0.05,1.06
-0.09,0.29,0.93
-0.02,-0.10,1.21
-0.05,-0.16,1.06
-0.02,-0.02,0.98
-0.05,-0.21,1.12
0.00,0.18,1.09
0.10,0.20,1.09
0.06,-0.30,1.09
-0.06,-0.10,0.90
-0.02,-0.18,1.14
-0.07,-0.21,1.08
-0.11,0.16,1.02
0.07,0.11,1.14
-0.03,0.00,0.96
0.05,0.12,1.21
0.04,-0.08,1.04
-0.04,-0.20,0.87
-0.02,-0.14,1.23
-0.05,0.02,1.04
-0.08,-0.04,1.00
0.01,-0.01,1.23
-0.05,0.12,0.98
-0.03,-0.09,1.10
-0.11,-0.04,0.95
-0.01,0.10,1.12
0.07,-0.10,1.17
-0.16,-0.03,0.91
-0.02,0.06,1.28
-0.01,-0.13,1.04
-0.04,-0.07,1.01
0.10,0.07,1.30
-0.10,-0.07,1.02
-0.11,-0.12,0.96
0.10,0.15,1.33
-0.11,-0.11,1.09
-0.03,-0.09,1.07
-0.04,0.12,1.05
-0.08,-0.21,1.22
0.06,0.06,1.12
0.03,0.05,1.01
0.04,-0.21,1.21
-0.06,0.08,1.02
-0.02,-0.09,1.13
0.05,-0.04,1.08
-0.07,0.13,0.93
-0.03,-0.13,1.11
-0.04,-0.01,0.95
-0.02,0.03,1.06
0.01,-0.05,1.07
-0.08,0.05,1.00
0.04,-0.24,1.15
0.05,0.13,1.11
-0.04,-0.07,1.03
-0.07,-0.23,1.04
-0.04,0.09,1.12
-0.03,-0.13,1.13
0.05,-0.09,1.05
-0.05,0.17,1.02
0.05,-0.25,1.19
-0.02,-0.03,1.03
0.02,0.06,1.11
0.01,-0.27,1.16
-0.08,0.18,0.91
0.01,0.06,1.25
-0.04,-0.19,1.23
-0.09,0.10,0.89
0.01,-0.24,1.14
0.00,-0.27,1.16
0.04,0.13,0.95
-0.02,-0.05,1.10
0.06,0.08,1.20
0.02,0.09,1.09
-0.00,-0.21,1.03
-0.03,-0.25,1.05
-0.04,-0.23,1.09
-0.03,0.14,1.04
0.05,0.11,1.19
-0.09,-0.07,1.10
0.01,0.23,1.01
0.10,-0.27,1.09
0.03,-0.20,1.06
-0.09,0.15,0.98
-0.08,-0.09,1.06
-0.04,0.21,1.00
0.03,0.15,1.09
-0.12,-0.23,1.05
-0.04,-0.08,1.02
0.07,-0.14,1.11
-0.07,0.01,1.11
-0.09,0.18,1.00
0.04,-0.01,1.32
-0.07,0.05,0.94
0.02,-0.04,1.16
0.09,-0.26,1.14
-0.04,-0.07,0.89
0.02,-0.06,1.06
-0.01,0.09,1.10
-0.05,0.07,1.02
-0.05,-0.13,1.04
-0.03,0.09,0.93
0.01,-0.16,1.24
-0.07,-0.05,0.99
-0.01,0.10,1.01
0.09,-0.06,1.36
-0.08,-0.10,0.85
-0.03,0.06,1.14
-0.02,-0.08,1.19
-0.10,-0.09,0.96
0.06,0.06,1.23
-0.10,-0.15,1.00
-0.06,-0.08,1.08
0.04,0.15,1.18
-0.08,-0.18,0.93
